,e_id,day,topic_id
272,354,1月29日,1
273,356,2月4日,4
274,357,1月27日,0
275,359,2月3日,4
276,361,1月21日,3
277,362,1月22日,1
278,363,1月28日,0
279,364,1月30日,1
280,366,2月3日,4
281,368,1月27日,1
282,369,1月31日,1
283,371,2月3日,4
284,372,1月23日,2
285,373,1月30日,0
286,375,2月2日,4
287,376,1月27日,0
288,378,2月2日,4
289,380,1月24日,1
290,381,1月25日,0
291,383,2月2日,4
292,385,1月30日,0
293,387,2月2日,4
294,388,1月26日,4
295,390,1月30日,4
296,392,1月28日,1
297,394,1月30日,4
298,396,1月25日,4
299,397,1月29日,1
300,398,1月30日,4
301,401,1月30日,4
302,404,1月22日,4
303,406,1月29日,4
304,407,1月19日,2
305,409,1月26日,0
306,411,1月29日,4
307,415,1月27日,4
308,416,1月25日,1
309,418,1月27日,4
310,419,1月26日,1
311,420,1月27日,4
312,421,1月23日,1
313,422,1月24日,4
314,424,1月27日,4
315,426,1月26日,4
316,429,1月26日,4
317,431,1月26日,4
318,433,1月26日,4
319,434,1月17日,1
320,434,1月17日,1
321,434,1月17日,1
322,436,1月16日,1
323,437,1月17日,0
324,440,1月21日,1
325,442,1月25日,4
326,445,2月18日,3
327,448,2月14日,5
328,449,2月15日,0
329,451,1月21日—23日,1
330,452,1月24日,1
331,453,1月25日—2月1日,1
332,454,2月2日—2月11日,0
333,456,2月15日,4
334,457,2月8日,0
335,458,1月30日-2月9日,5
336,461,2月18日,4
337,462,1月30日-2月1日,1
338,464,2月4日,3
339,465,2月5日-2月12日,1
340,466,2月13日,5
341,468,2月18日,4
342,469,2月3日,1
343,471,2月7日-2月12日,1
344,472,2月12日,5
345,474,2月18日,4
346,476,2月6日-2月9日,1
347,481,2月18日,4
348,482,1月23日,4
349,484,2月11日,1
350,487,1月12日至21日,0
351,487,1月12日至21日,0
352,488,1月22日,4
353,488,1月22日,4
354,489,1月23日,0
355,489,1月23日,0
356,490,1月24日,4
357,490,1月24日,4
358,492,1月26日,4
359,493,1月27日,4
360,493,1月27日,4
361,495,2月11日,4
362,495,2月11日,4
363,497,2月14日,4
364,497,2月14日,4
365,497,2月14日,4
366,498,2月15日,1
367,498,2月15日,1
368,500,2月18日,5
369,501,1月20日~2月16日,4
370,502,2月16日,1
371,503,2月18日,0
372,504,2月14日,2
373,505,2月18日,0
374,506,2月14日,2
375,507,2月18日,0
376,508,2月14日,2
377,509,2月18日,0
378,510,1月24日－2月14日,1
379,513,2月18日,3
380,515,2月6日,3
381,515,2月6日,3
382,515,2月6日,3
383,516,2月7日,0
384,518,1月29日,5
385,519,1月30日—2月1日,5
386,520,2月2日—2月14日,1
387,521,2月15日,1
388,522,2月16日,0
389,524,1月21日—23日,1
390,525,1月24日,1
391,526,1月25日—2月1日,1
392,527,2月2日—2月11日,0
393,529,2月15日,4
394,531,1月17日,0
395,535,2月12日,5
396,536,2月13日,0
397,537,2月15日,0
398,539,2月18日,3
399,540,2月3日,0
400,542,2月12日,0
401,544,2月18日,0
402,546,2月14日,1
403,550,1月29日,5
404,553,1月29日,5
405,559,2月18日,0
406,560,2月15日,0
407,561,2月16日,0
408,562,2月17日,1
409,563,2月18日,4
410,564,2月1日-14日,3
411,565,2月15日,1
412,566,2月17日,5
413,567,2月18日,1
414,568,2月18日,0
415,572,2月12日,3
416,573,1月24日-2月3日,5
417,574,2月11日,0
418,577,1月27日-2月3日,5
419,578,2月10日,0
